Symbol	Description
EMA.PR.E	Emera Inc Pref Series E
EMA.PR.F	Emera Inc Series F Pref
EML.PR.A	The Empire Life Insurance Co Pref A
EMP.A	Empire Company Ltd. Cl.
ENB	Enbridge Inc
ENB.PF.A	Enbridge Inc Pref Series
ENB.PF.C	Enbridge Inc Pref Series
ENB.PF.E	Enbridge Inc Pref Series
ENB.PF.G	Enbridge Inc Pref Series
ENB.PF.I	Enbridge Inc Pref Series 17
ENB.PF.U	Enbridge Inc Preferred S
ENB.PF.V	Enbridge Inc Pref Series
ENB.PR.A	Enbridge Pr
ENB.PR.B	Enbridge Inc Cum Redeem
ENB.PR.C	Enbridge Inc Pref Series C
ENB.PR.D	Enbridge Inc Pref Ser D
ENB.PR.F	Enbridge Inc Pref Ser F
ENB.PR.H	Enbridge Inc Preferred S
ENB.PR.J	Enbridge Inc Pref Ser 7
ENB.PR.N	Enbridge Inc Pref Ser N
ENB.PR.P	Enbridge Inc Pref Ser P
ENB.PR.T	Enbridge Inc Pref Ser R
ENB.PR.U	Enbridge Inc Pref Sh Ser
ENB.PR.V	Enbridge Inc Pref Ser 1
ENB.PR.Y	Enbridge Inc Cum Red Pre
ENF	Enbridge Income Fund Hol
ENGH	Enghouse Systems Ltd.
ENI.UN	Energy Income Fund
ENT	Entrec Corporation
ENT.DB	Entrec Corporation 7 Pct
EOM	Eco Oro Minerals Corp
EOX	Euromax Resources Ltd
EPI	Essa Pharma Inc
EPS	Epsilon Energy Ltd.
EQB	Equitable Group Inc
EQB.PR.C	Equitable Group Inc Pref
EQI	Equity Financial Holding
ER	Eastmain Res J
ERD	Erdene Resource Developm
ERF	Enerplus Corporation
ERM	Eclipse Residential Mort
ESI	Ensign Energy Services I
ESM	Euro Sun Mining Inc
ESN	Essential Energy Service
ESP	Espial Group Inc.
ET	Evertz Technologies Limi
ETG	Entree Gold Inc.
ETP	First Trust Global Risk
ETP.A	First Trust Glb Risk Man
ETX	Etrion Corporation
EUR	First Trust Alphadex EUR
EUR.A	First Trust Alphadex EUR
EVT	Economic Investment
EXE	Extendicare Inc
EXE.DB.B	Extendicare Inc 6 Pct De
EXF	Exfo Inc
EXGG	Excel Global Growth Asset ETF
EXN	Excellon Resources Inc.
EXN.WT	Excellon Resources Inc Wts
FAH.U	Fairfax Africa Holdings Corporation
FAI	Fa Active Utility and In
FAO	First Asset Active Credi
FAO.U	First Asset Active Credi
FAP	Aberdeen Asia-Pacific In
FAR	Foraco International Sa
FBE	First Asset Canadian Buyback Index ETF
FBU	First Asset US Buyback Index ETF
FC	Firm Capital Mortgage In
FC.DB.A	Firm Capital Mortgage 5.
FC.DB.B	Firm Capital Mtg Inv Cor
FC.DB.C	Firm Capital Mortgage In
FC.DB.D	Firm Capital Mortgage In
FC.DB.E	Firm Cap Mtg Invest Corp
FC.DB.F	Firm Capital Mortgage 5.50 Pct Debs
FC.DB.G	Firm Capital Mortgage Inv 5.20 Pct Debs
FC.DB.H	Firm Capital Mortgage 5.30 Pct Debs
FCE	First Asset Cambridge Core CDN Eq ETF
FCR	First Capital Realty Inc
FCR.DB.I	First Capital Realty Inc
FCR.DB.J	First Capital Realty Inc
FCS.PR.C	Faircourt Split Trust 6.
FCS.UN	Faircourt Split Trust
FCU	Fission Uranium Corp
FCY	First Asset Cambridge Core US Equity ETF
FCY.B	First Asset Cambridge Core US Eq ETF Uh
FDE	First Trust Alphadex Emg
FDL	Fa Canadian Dividend Low Vol Idx ETF
FDV	First Asset Active CDN D
FDY	First Trust Alphadex CDN
FEC	Frontera Energy Corporation
FF	First Mining Finance Corp
FFH	Fairfax Financial Holdin
FFH.PR.C	Fairfax Fncl Holdings Lt
